学年学期,课程名,课程号,课序号,课程类别,课程性质,学分,学时,修读方式,修读类型,总成绩,考试日期,绩点,Column29,学号,学年课程号,重修重考,等级成绩类型,等级成绩,考核一,考核一占比,考核二,考核二占比,其他一,其他二,考试类型,开课单位,是否及格,是否有效
2025-2026学年 第一学期,科研方法专题,BASM311240,2,专业选修课程,选修,1.5,24,正常,主修,83,12/26/2025,3.3,1/22/2026,2246213436,202520261BASM31124002,初修,百分制,,,0,83,100,,,闭卷,医学部,是,是
2025-2026学年 第二学期,免疫学,BASM312640,4,专业大类基础课程,必修,2.5,50,正常,主修,72,6/22/2026,2.3,3/4/2026,2246213436,202520262BASM31264004,初修,百分制,,80,10,66,70,88,,闭卷,医学部,是,是
2025-2026学年 第二学期,生理学,BASM312540,4,专业大类基础课程,必修,4,64,正常,主修,72,7/5/2026,2.3,3/6/2026,2246213436,202520262BASM31254004,初修,百分制,,97,10,57,60,,95,闭卷,医学部,是,是
2025-2026学年 第二学期,生物信息学,BASM312940,1,专业选修课程,选修,1.5,32,正常,主修,94,3/10/2026,4,3/10/2026,2246213436,202520262BASM31294001,初修,百分制,,80,30,100,70,,,闭卷,医学部,是,是
2025-2026学年 第二学期,医学微生物学,BASM304348,4,专业大类基础课程,必修,3,56,正常,主修,81,6/27/2026,3.3,5/13/2026,2246213436,202520262BASM30434804,初修,百分制,,95,20,70,60,100,100,闭卷,医学部,是,是
2025-2026学年 第二学期,局部解剖学,BASM304248,4,专业大类基础课程,必修,2.5,64,正常,主修,69,6/14/2026,2,6/18/2026,2246213436,202520262BASM30424804,初修,百分制,,84,50,53,50,,,闭卷,医学部,是,是
2025-2026学年 第二学期,机能实验学Ⅰ,BASM313040,7,专业大类基础课程,必修,1,32,正常,主修,A－,6/30/2026,3.7,6/30/2026,2246213436,202520262BASM31304007,初修,等级制（2014级及以后）,A－,,0,A－,100,,,考查,医学部,是,是
2025-2026学年 第二学期,病理学,BASM312840,4,专业大类基础课程,必修,4.5,96,正常,主修,70,7/3/2026,2,7/1/2026,2246213436,202520262BASM31284004,初修,百分制,,100,10,59,70,85,100,闭卷,医学部,是,是
2025-2026学年 第二学期,习近平新时代中国特色社会主义思想概论,MLMD199314,33,公共课程,必修,3,48,正常,主修,82,6/25/2026,3.3,7/3/2026,2246213436,202520262MLMD19931433,初修,百分制,,88,50,75,50,,,闭卷,马克思主义学院,是,是
2025-2026学年 第二学期,法医学导论,FORM300143,1,专业核心课程,必修,1,16,正常,主修,69,6/6/2026,2,7/6/2026,2246213436,202520262FORM30014301,初修,百分制,,80,30,64,70,,,考查,医学部,是,是
2025-2026学年 第二学期,体育-4,PHED109350,263,公共课程,必修,0.5,32,正常,主修,81,7/7/2026,3.3,7/7/2026,2246213436,202520262PHED109350263,初修,百分制,,,0,81,100,,,考查,体育学院（体育中心）,是,是
2025-2026学年 第二学期,马克思主义基本原理,MLMD196614,45,公共课程,必修,3,48,正常,主修,81,6/29/2026,3.3,7/11/2026,2246213436,202520262MLMD19661445,初修,百分制,,95,50,66,50,,,开卷,马克思主义学院,是,是
